file,track,model,tp,rate,ctx,variant,date,backend,duration_s,completed,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,p99_e2el_ms
baseline_vllm_qwen3_30b_tp2.json,baseline,qwen3_30b_tp2,,,,,20260509-122436,,110.55761949499993,1000,9.045057270297194,1823.7277622382126,3790.059897399931,72.51221354899872,68.70491749987195,121.551304039981,32.16248949714203,32.445680200520954,38.753627325540585,32.06299597301957,29.48755000033998,59.75387446007516,,,
track1_mixtral_8x7b_tp4_rate1.json,T1,mixtral_8x7b,4,1,,,20260509-140009,,206.7137662039995,200,0.9675214363934819,208.96527983226423,439.4530740171014,63.33538199996383,41.0872585002835,883.8686516407685,17.618147657782764,17.997296323314707,22.50554876254034,17.430879781003068,16.884419500001968,23.300720450106382,3810.625764870033,2235.256226000274,15392.281780690199
track1_mixtral_8x7b_tp4_rate10.json,T1,mixtral_8x7b,4,10,,,20260509-140312,,56.22654400300053,400,7.114077649493343,1550.0152382716096,3149.0286863541046,46.991722750040026,46.8777804999263,62.00145437991523,24.35399893702901,24.749524743690785,25.657006656972673,24.299017221954408,24.604632999398746,27.090035789951816,5316.962457097529,3853.856910999639,20756.46896903074
track1_mixtral_8x7b_tp4_rate25.json,T1,mixtral_8x7b,4,25,,,20260509-140420,,50.9951619149997,800,15.687762720186369,3182.9686171122135,6815.293587640765,103.47385317747694,68.78836850137304,934.0374493197303,35.969841224923684,36.12328594947334,58.820608287457574,35.33074848656477,30.58826249980484,109.554535999996,7236.575205618717,4987.683090000246,29896.331371539618
track1_mixtral_8x7b_tp4_rate5.json,T1,mixtral_8x7b,4,5,,,20260509-140159,,93.26376834600069,400,4.288910978977751,931.9052997897331,1895.9130982571148,54.839113532500505,44.13148700041347,542.4818753303762,23.406763278085037,23.01106781720513,28.152511749268708,23.344832364095787,22.70375599982799,40.38912300122321,5103.917681360022,3745.3618700001243,20183.15435804966
track1_mixtral_8x7b_tp8_rate1.json,T1,mixtral_8x7b,8,1,,,20260509-140958,,202.35402304299896,200,0.9883668087859131,213.04740746784748,448.5010904908716,70.99287453498619,29.766810500404972,932.396608719955,10.577851941145537,10.746224855179678,21.41892174844996,10.187117375824595,10.68593200034229,13.78954599967983,2256.689632550024,1366.588529499495,8858.563199759263
track1_mixtral_8x7b_tp8_rate10.json,T1,mixtral_8x7b,8,10,,,20260509-141247,,49.660305302999404,400,8.054722933325193,1747.8748765315668,3558.3148134477374,33.33763829250529,33.31354650072171,43.18915397028832,16.281532975233134,16.508586515676512,16.871654591615222,16.232708332743293,16.395798999838007,18.764744798754673,3539.602496512566,2554.654913500599,13988.303523989724
track1_mixtral_8x7b_tp8_rate25.json,T1,mixtral_8x7b,8,25,,,20260509-141345,,42.041978031000326,800,19.02860040053556,3853.8862248709675,8259.74457586047,75.65722203127052,43.8564910000423,913.6578009095683,20.06480149094727,19.620832520002818,29.602566906403403,19.959629309474273,18.015649000517442,46.265265160909976,4098.146145656245,2764.3689900005484,17799.569835788567
track1_mixtral_8x7b_tp8_rate5.json,T1,mixtral_8x7b,8,5,,,20260509-141142,,86.97246757599896,400,4.5991566198862746,994.3836527856114,2028.1245883458996,33.1683729350334,31.861548999586375,56.91496247953172,15.007909700193308,14.925730892537604,17.100384099674425,14.956906854061211,14.821278500676272,22.17730779993871,3252.0441708199905,2307.876636000401,13086.630338899504
track4_llama4_maverick_tp8_rate1.json,T4,llama4_maverick,8,1,,,20260509-160058,,203.6489187899988,200,0.982082307081819,201.1206356672857,408.89487896505074,75.41889947999152,54.94491300123627,218.80801858052502,12.84953854040233,12.48513451250002,17.78385404501565,12.746693006452942,11.905450000085693,23.349963699165528,2673.067302960035,1992.3066644996652,9769.706529639205
